"time","anomalies.detector_id","anomalies.diff"
"2015-09-23T03:43:31.000Z","51","18"
"2015-09-23T11:42:01.000Z","2","-4"
"2015-09-23T13:03:01.000Z","3","5"
"2015-09-23T13:04:31.000Z","3","-5"
"2015-09-23T14:57:01.000Z","2","5"
"2015-09-23T14:58:31.000Z","2","-5"
"2015-09-23T15:04:31.000Z","2","-5"
"2015-09-23T15:10:31.000Z","3","-5"
"2015-09-23T15:33:01.000Z","3","-5"
"2015-09-23T16:06:01.000Z","2","4"
"2015-09-23T16:52:31.000Z","3","5"
"2015-09-23T16:54:01.000Z","3","-5"
"2015-09-24T12:27:01.000Z","2","4"
"2015-09-24T12:28:31.000Z","2","-4"
"2015-09-24T14:49:31.000Z","44","6"
"2015-09-24T15:01:31.000Z","3","5"
"2015-09-24T15:03:01.000Z","3","-5"
"2015-09-24T15:09:01.000Z","2","4"
"2015-09-24T15:10:31.000Z","2","-4"
"2015-09-24T15:48:01.000Z","2","-4"
"2015-09-25T11:06:01.000Z","2","4"
"2015-09-25T11:07:31.000Z","2","-4"
"2015-09-25T13:37:31.000Z","3","5"
"2015-09-25T13:39:01.000Z","3","-5"
"2015-09-25T15:06:01.000Z","2","-4"
"2015-09-25T21:07:31.000Z","2","4"
"2015-09-28T13:45:01.000Z","2","4"
"2015-09-28T15:04:31.000Z","2","4"
"2015-09-28T15:06:01.000Z","3","-5"
"2015-09-28T15:12:01.000Z","2","-4"
"2015-09-28T15:37:31.000Z","2","-4"
"2015-09-28T15:39:01.000Z","17","49"
"2015-09-28T16:01:31.000Z","3","-5"
"2015-09-28T16:27:01.000Z","99","-8"
"2015-09-29T07:51:01.000Z","96","14"
"2015-09-29T13:30:01.000Z","3","-5"
"2015-09-29T14:49:31.000Z","2","4"
"2015-09-29T14:51:01.000Z","2","-4"
"2015-09-29T15:07:31.000Z","2","-4"
"2015-09-29T15:51:01.000Z","3","5"
"2015-09-29T16:18:01.000Z","2","4"
"2015-09-29T16:19:31.000Z","2","-5"
"2015-09-30T11:33:01.000Z","3","5"
"2015-09-30T11:34:31.000Z","3","-5"
"2015-09-30T15:04:31.000Z","2","4"
"2015-09-30T15:09:01.000Z","2","4"
"2015-09-30T15:27:01.000Z","3","5"
"2015-09-30T15:28:31.000Z","3","-5"
"2015-09-30T15:58:31.000Z","3","-5"
"2015-10-01T08:01:31.000Z","6","-14"
"2015-10-01T11:46:31.000Z","2","4"
"2015-10-01T11:48:01.000Z","2","-4"
"2015-10-01T12:34:31.000Z","3","5"
"2015-10-01T15:03:01.000Z","2","-4"
"2015-10-01T15:07:31.000Z","2","-5"
"2015-10-01T15:09:01.000Z","2","4"
"2015-10-01T15:12:01.000Z","3","-5"
"2015-10-01T15:15:01.000Z","2","4"
"2015-10-01T15:21:01.000Z","3","5"
"2015-10-01T15:36:01.000Z","3","5"
"2015-10-02T07:39:01.000Z","31","7"
"2015-10-02T10:18:01.000Z","67","30"
"2015-10-02T14:00:01.000Z","2","4"
"2015-10-02T14:40:31.000Z","3","5"
"2015-10-02T14:42:01.000Z","3","-5"
"2015-10-02T15:04:31.000Z","2","4"
"2015-10-02T15:06:01.000Z","2","-4"
"2015-10-02T15:07:31.000Z","3","-5"
"2015-10-02T15:24:01.000Z","3","-5"
"2015-10-02T15:34:31.000Z","3","-5"
"2015-10-02T15:54:01.000Z","2","4"
"2015-10-02T17:00:01.000Z","2","4"
"2015-10-02T17:01:31.000Z","2","-4"
"2015-10-03T14:22:31.000Z","61","43"
"2015-10-04T13:09:01.000Z","95","14"
